,Name,Faction,Comittee,Comission
59,Н.П.Бурляев,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']
60,В.В.Бурматов,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
61,М.В.Бутина,ЕДИНАЯ РОССИЯ,,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по расследованию фактов вмешательства иностранных государств во внутренние дела России ']
62,Т.В.Буцкая,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по вопросам семьи, женщин и детей",
63,Э.А.Валеев,ЕДИНАЯ РОССИЯ,"Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам контроля за достоверностью сведений о доходах, об имуществе и обязательствах имущественного характера, представляемых депутатами Государственной Думы и мандатным вопросам","['Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
64,О.Д.Валенчук,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
65,Н.С.Валуев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по туризму и развитию туристической инфраструктуры,
66,В.А.Васильев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по безопасности и противодействию коррупции,
67,Н.И.Васильев,КПРФ,Комитет Государственной Думы по аграрным вопросам,
68,М.В.Василькова,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по промышленности и торговле,
69,А.А.Вассерман,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,,
70,А.Б.Веллер,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по развитию Дальнего Востока и Арктики,
71,С.А.Веремеенко,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
72,В.М.Власов,ЛДПР,,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по Регламенту и обеспечению деятельности Государственной Думы ']
73,В.В.Власова,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по охране здоровья,
74,В.П.Водолацкий,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками",
75,Р.М.Водянов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по безопасности и противодействию коррупции,
76,В.В.Володин,ЕДИНАЯ РОССИЯ,,
77,А.А.Волоцков,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по туризму и развитию туристической инфраструктуры,
78,И.С.Вольфсон,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,
79,А.В.Воробьев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по промышленности и торговле,
80,А.В.Вороновский,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
